X,Y
DOUBLE,DOUBLE
3.126145,2.038459
-4.253775,-0.482480
4.754982,-0.809609
-1.080036,-5.136882
0.192326,3.916453
4.674912,-0.327365
4.538690,0.110104
2.543570,-0.416038
4.188820,-0.948307
1.758902,2.513758
3.213638,1.639260
-1.872997,-4.059492
0.117432,4.295359
4.110888,-0.514349
-1.396964,3.185305
-2.204438,3.702540
-4.659227,1.229031
-1.091266,3.034619
0.479058,-5.079957
-2.383505,-1.868701
-4.951014,0.832567
1.922044,-3.267082
0.955135,-4.711030
-4.142789,-0.501506
-0.431245,-5.216642
-2.711342,2.368582
-5.001409,0.710883
4.967746,-0.429506
1.973211,1.908175
0.923427,-3.492592
-2.420910,3.049116
1.662679,-1.170734
-3.751432,1.650855
0.618915,-3.171960
0.287641,2.259390
1.348689,1.633295
-1.256708,-4.662291
-1.318294,0.775747
0.915825,0.859538
4.478164,0.491257
-5.098402,-0.243952
-3.902707,-2.121989
4.317689,0.397206
4.800332,-0.576637
-4.538190,-1.256482
-0.785519,2.081134
-0.744443,-5.109326
-4.035931,-0.778445
2.101207,3.251966
3.946009,-1.923194
1.289533,-1.437791
-0.074435,-5.009750
-2.646836,2.898878
4.215364,0.931024
-2.527466,-1.948285
-2.117655,-3.488056
0.007928,0.790453
0.682171,-1.545257
-3.467362,-2.640783
-4.563099,1.271527
-4.082619,-0.001867
-3.670127,2.531642
-0.478692,4.470058
-1.549254,1.102696
2.500920,1.069648
0.181957,3.148305
0.776936,-0.582143
3.813800,-2.088828
-1.229423,3.790215
-0.373481,0.347739
-2.962340,-2.614145
1.052611,-1.430502
-2.998843,-0.469716
0.369668,-4.865078
-0.776932,-0.015318
3.270624,0.090431
2.722968,1.457116
2.761372,0.385512
0.371791,2.928730
0.296852,-1.113223
-3.526479,-0.760582
-2.193043,3.540472
3.894179,0.668744
-0.300235,-5.173876
-4.761813,-0.850089
4.547680,-0.069418
-1.603303,1.815714
-2.996087,0.160995
0.817957,1.715126
0.716043,3.443026
-1.424224,3.407662
-3.797499,-1.729679
3.282611,1.934508
4.311626,-0.650264
2.785909,0.277124
2.094200,3.353847
-2.030996,3.664891
0.147714,-4.851614
4.615262,0.734360
-0.260972,1.747769
