X,Y
DOUBLE,DOUBLE
16.694454,46.145552
1.216604,-17.485104
-24.541000,-38.308314
-16.437501,13.642461
36.073312,-24.685086
-41.434755,-1.482872
-3.442450,-34.335250
-32.662045,-4.144887
41.621558,-17.344890
26.752328,-9.161637
-52.516102,-13.090153
-6.337159,38.405692
8.486677,-63.401058
-9.638809,32.053284
18.563156,-7.721909
-6.234679,-42.320221
-7.673330,34.840085
12.840210,-42.852329
20.029405,-21.793281
-3.201122,-49.295598
22.511433,37.387012
-40.393591,19.266371
-17.374747,-13.161239
41.321843,2.033322
-36.410816,35.764468
-35.904269,-32.195653
-18.014507,-24.488195
8.056934,-20.351948
22.535156,-36.192429
-18.313683,30.553871
39.718292,-20.174953
37.222692,-21.915438
-39.310566,-28.759717
-24.303293,-26.176330
65.450177,10.853054
-10.618040,15.332928
-12.494420,-42.181511
32.938479,-35.226758
-14.182902,6.344204
33.285489,9.711175
-3.398695,-20.426505
6.190134,34.526529
-4.406289,5.910864
-15.164909,-36.899726
37.971835,-12.587884
49.747268,-4.554338
57.989911,0.078669
-9.742597,67.085032
-15.900706,-4.135521
-2.822041,-54.485409
27.162205,31.636211
-31.595538,13.366567
-6.006217,52.587838
-3.193909,-34.704556
24.865490,36.848747
5.614660,25.134068
-34.096290,-2.330199
4.374882,37.134583
29.333913,8.258213
-21.693928,-46.815830
21.625654,17.781929
-2.152909,-8.638357
-9.608624,60.852738
-30.733209,1.987854
13.369753,-32.996518
35.548032,-14.969195
15.331256,-56.675775
32.786151,10.414396
-29.481619,-20.928255
-3.856494,33.669079
-13.964021,59.847826
40.115131,18.420090
27.798674,-22.132943
49.715594,13.146188
49.190343,-5.782966
56.507682,-1.225862
-24.422198,8.684288
-53.056911,9.953000
-36.610886,13.433360
-11.075426,-48.546278
9.217703,2.881171
17.057530,-47.471881
15.816075,-29.454983
3.841159,18.420780
-3.838949,-34.542373
-10.218621,-56.697745
-10.604801,-16.522397
50.918468,0.713383
19.997842,8.678831
4.143142,-58.767960
-6.011577,47.532158
31.394820,-1.826648
-4.095497,12.911574
-7.349576,-29.021688
-30.381835,-17.240826
-31.924731,-13.599780
18.486796,-8.162877
49.828837,0.936982
-24.793679,4.278574
2.477708,-64.964778
