X,Y
DOUBLE,DOUBLE
1.276037,0.124836
1.079083,-0.360011
1.314678,1.112684
1.147610,0.792033
0.925917,1.154876
1.193850,-0.186624
1.511346,0.969661
0.938595,1.007555
0.311327,0.937810
-0.112898,0.152392
0.179933,0.362533
0.018963,0.141099
-0.239330,0.697098
0.143496,1.269911
1.062563,0.247266
0.834102,0.616848
0.496915,0.266453
0.936238,0.946434
-0.222084,0.594518
0.797681,1.211906
-0.087618,-0.133260
1.150549,1.123255
-0.097542,0.812079
-0.255092,0.113081
1.445694,0.769821
0.551184,-0.122096
0.790717,1.248641
0.124087,-0.098187
0.708322,0.484010
-0.161419,0.335235
0.223324,0.654054
1.568403,0.616796
0.988108,1.087917
0.608757,0.728516
1.099534,0.621031
-0.053728,0.531124
0.285354,-0.045614
0.542294,0.938811
1.080099,0.918627
1.063445,0.502447
0.185652,0.956797
1.120721,-0.201490
-0.076379,1.118021
0.706760,0.369439
0.904936,1.233408
0.982001,-0.019774
1.282843,0.984606
0.906535,1.494463
1.000470,-0.060101
1.346488,0.810254
1.671630,2.507722
0.990084,1.500662
2.304054,1.133699
1.238330,1.533626
1.169727,1.906511
1.627704,1.788828
2.437907,1.259000
2.398179,2.682435
2.890792,2.330978
1.214073,2.060321
2.961473,1.249020
1.184403,2.478178
1.387755,2.523197
2.969574,0.881203
1.823369,1.416306
2.567151,1.580037
2.660563,1.509603
2.062552,1.876118
1.619550,2.133799
1.861463,1.287857
2.900938,2.312627
1.323369,1.024059
2.538857,2.182057
1.465249,2.429907
1.940498,1.015737
1.605511,1.370853
2.592283,1.384163
2.075291,1.884086
1.965980,1.677768
2.186327,2.856210
2.517851,2.832527
2.651011,2.194538
1.682181,2.173494
1.754612,1.013461
2.488436,1.975976
2.093009,1.639333
2.269095,1.305870
1.996693,1.479878
1.685538,1.585094
2.122439,1.768290
2.332219,2.621827
1.433380,1.376404
2.649832,1.215061
2.270350,2.326934
1.947549,2.147385
2.438720,2.310740
1.637315,1.192402
1.571172,1.955256
2.616971,1.357187
1.235274,2.082616
