X,Y
DOUBLE,DOUBLE
0.442390,-0.704390
0.971498,0.008165
-0.100080,0.857182
0.777628,0.390829
0.758754,0.192496
0.451659,-0.183347
-0.147540,0.695861
-0.317256,-0.542646
-0.974697,-0.258427
0.348549,-0.301011
-1.083819,0.487695
0.421764,-0.672592
0.150601,-0.513516
-1.103965,1.135458
0.232641,0.299363
-0.503222,0.287408
-0.705873,0.224155
-0.022883,0.144747
-0.047123,-0.207658
0.104483,0.757040
-1.126176,-0.625010
0.703878,0.957397
-0.811238,-0.172365
0.076806,-0.640145
0.266519,0.838426
0.241537,0.207359
-0.540831,0.685456
-0.324293,-0.235535
-0.019380,0.153977
-0.523979,-0.935737
-0.678107,-0.800982
-0.314598,-0.253123
0.330224,-0.066267
0.130961,0.825668
-0.339138,-0.059364
-0.403417,0.204620
-0.437137,0.291847
-0.105721,0.490553
0.360143,0.390794
-0.030104,0.080943
-0.528287,-0.507472
0.596455,0.174107
-0.901289,0.787523
-0.287660,-0.457966
0.067089,0.008686
-0.337406,-0.582798
0.475006,0.759781
0.398719,0.270965
-0.487596,0.241532
0.851381,-0.085548
0.478627,-0.235204
0.061852,-1.021524
0.738599,0.142724
0.210833,0.003587
-0.008681,0.455985
0.390640,-0.766044
0.959417,0.061696
0.441432,0.603662
0.065715,0.416729
-0.906571,-0.370835
-0.024603,-0.475898
-0.801189,-0.231456
-0.955719,0.273685
-0.053757,0.190797
0.345078,-0.517510
0.409899,-0.133921
0.146690,-0.467295
0.319430,0.261780
-0.857723,0.044313
0.125700,0.285085
-0.281570,-0.531937
0.243805,0.112845
-0.419681,0.252923
-0.941893,-0.273349
0.723931,-0.201007
-0.182576,-0.858641
0.380718,0.351810
-0.390383,-0.654218
0.084448,-0.215843
-0.601836,0.074388
-0.144955,0.346356
1.085753,0.085612
0.229136,0.492489
-0.078657,-0.238153
0.615245,0.011239
-0.540456,-0.188135
-0.179281,-0.814587
-0.050615,0.113486
0.311251,0.133330
0.452719,-0.167279
-0.244423,0.537359
0.256878,-0.926492
-0.361411,0.176492
0.191834,-0.084653
0.250803,0.611132
0.494098,-0.432789
0.472352,0.051043
0.117719,0.772101
0.574038,-0.808993
0.384673,0.215784
